Project_ID,Description,Risk_Types
43,"This is a Mixed-Use project in Bryantbury, Togo. Budget: 91.8M, Timeline: 43 months, Past Incidents: 2. The project follows standard practices. may face permitting delays material prices are volatile","Delay,Budget Overrun"
44,"This is a Mixed-Use project in Port Linda, Greece. Budget: 79.4M, Timeline: 8 months, Past Incidents: 2. The project follows standard practices. needs strict safety protocols uses new construction techniques","Safety,Quality Issue"
45,"This is a Mixed-Use project in Curtiston, Turks and Caicos Islands. Budget: 89.2M, Timeline: 39 months, Past Incidents: 0. The project follows standard practices. dependent on weather conditions",Delay
46,"This is a Infrastructure project in Johnsonfurt, Zimbabwe. Budget: 80.2M, Timeline: 30 months, Past Incidents: 4. The project follows standard practices. material prices are volatile",Budget Overrun
47,"This is a Mixed-Use project in Julieburgh, Slovenia. Budget: 90.9M, Timeline: 16 months, Past Incidents: 3. Stakeholders are actively involved. high precision required",Quality Issue
48,"This is a Mixed-Use project in Gillespiestad, Anguilla. Budget: 17.5M, Timeline: 7 months, Past Incidents: 4. The team is experienced. contingency budget is low",Budget Overrun
49,"This is a Residential project in Jenniferside, Ukraine. Budget: 32.9M, Timeline: 37 months, Past Incidents: 5. The project is well-planned. complex scheduling required potential for soil contamination","Delay,Environmental"
50,"This is a Industrial project in East Jennifer, Montenegro. Budget: 84.0M, Timeline: 26 months, Past Incidents: 2. The project is well-planned. involves heavy machinery potential supply chain disruptions uncertain cost estimates","Safety,Delay,Budget Overrun"
51,"This is a Residential project in Garrettfurt, Saudi Arabia. Budget: 65.0M, Timeline: 24 months, Past Incidents: 3. Stakeholders are actively involved. involves heavy machinery may face permitting delays","Safety,Delay"
52,"This is a Commercial project in Stevenshaven, Samoa. Budget: 16.5M, Timeline: 28 months, Past Incidents: 4. The team is experienced. dependent on weather conditions unproven subcontractors potential for soil contamination","Delay,Quality Issue,Environmental"
53,"This is a Industrial project in Port Jessebury, Moldova. Budget: 48.3M, Timeline: 51 months, Past Incidents: 1. The project follows standard practices. unproven subcontractors",Quality Issue
54,"This is a Industrial project in Johnathanshire, Netherlands Antilles. Budget: 10.2M, Timeline: 13 months, Past Incidents: 1. The team is experienced. complex scheduling required currency exchange risks","Delay,Budget Overrun"
55,"This is a Residential project in Macdonaldberg, Peru. Budget: 54.0M, Timeline: 50 months, Past Incidents: 2. The project is well-planned. needs strict safety protocols potential supply chain disruptions strict environmental regulations","Safety,Delay,Environmental"
56,"This is a Mixed-Use project in West Connie, Rwanda. Budget: 86.1M, Timeline: 30 months, Past Incidents: 0. Stakeholders are actively involved. may face permitting delays",Delay
57,"This is a Mixed-Use project in Hullberg, Ireland. Budget: 51.9M, Timeline: 43 months, Past Incidents: 0. The project is well-planned. high precision required",Quality Issue
58,"This is a Commercial project in Jasmineshire, Yemen. Budget: 50.6M, Timeline: 26 months, Past Incidents: 5. The project is well-planned. scope creep is likely",Budget Overrun
59,"This is a Residential project in Port Richardshire, Macao. Budget: 15.2M, Timeline: 14 months, Past Incidents: 1. The project is well-planned. has a tight deadline scope creep is likely tight quality control needed","Delay,Budget Overrun,Quality Issue"
60,"This is a Commercial project in Lake Jamesview, Finland. Budget: 29.7M, Timeline: 50 months, Past Incidents: 5. Stakeholders are actively involved. needs strict safety protocols material prices are volatile","Safety,Budget Overrun"
61,"This is a Mixed-Use project in Laneview, Madagascar. Budget: 36.3M, Timeline: 24 months, Past Incidents: 2. The project is well-planned. may face permitting delays",Delay
62,"This is a Mixed-Use project in New Vanessa, Bahamas. Budget: 38.3M, Timeline: 34 months, Past Incidents: 2. The team is experienced. dependent on weather conditions",Delay
63,"This is a Residential project in Wendyton, Austria. Budget: 1.7M, Timeline: 32 months, Past Incidents: 4. Stakeholders are actively involved. located in a high-risk area may face permitting delays uses new construction techniques","Safety,Delay,Quality Issue"
64,"This is a Infrastructure project in Grantmouth, Bermuda. Budget: 22.0M, Timeline: 48 months, Past Incidents: 4. The project is well-planned. complex design",Quality Issue
65,"This is a Infrastructure project in Ryanland, Poland. Budget: 8.8M, Timeline: 47 months, Past Incidents: 3. The project is well-planned. uncertain cost estimates high precision required","Budget Overrun,Quality Issue"
66,"This is a Industrial project in Brittneyton, Italy. Budget: 28.4M, Timeline: 40 months, Past Incidents: 1. The project follows standard practices. has a tight deadline material prices are volatile unproven subcontractors potential for soil contamination","Delay,Budget Overrun,Quality Issue,Environmental"
67,"This is a Mixed-Use project in Marthatown, Suriname. Budget: 11.8M, Timeline: 58 months, Past Incidents: 5. The project is well-planned. needs strict safety protocols currency exchange risks tight quality control needed strict environmental regulations","Safety,Budget Overrun,Quality Issue,Environmental"
68,"This is a Mixed-Use project in Clarkfort, Guadeloupe. Budget: 88.9M, Timeline: 36 months, Past Incidents: 3. The project is well-planned. involves heavy machinery material prices are volatile","Safety,Budget Overrun"
69,"This is a Commercial project in New Tonymouth, Northern Mariana Islands. Budget: 19.2M, Timeline: 45 months, Past Incidents: 4. The project is well-planned. uncertain cost estimates located in a sensitive ecosystem","Budget Overrun,Environmental"
70,"This is a Mixed-Use project in West Edward, Uganda. Budget: 63.8M, Timeline: 50 months, Past Incidents: 3. The project follows standard practices. located in a high-risk area material prices are volatile uses new construction techniques","Safety,Budget Overrun,Quality Issue"
71,"This is a Commercial project in North Deborah, Afghanistan. Budget: 87.3M, Timeline: 51 months, Past Incidents: 2. The team is experienced. potential supply chain disruptions uses new construction techniques potential for soil contamination","Delay,Quality Issue,Environmental"
72,"This is a Residential project in Vargasfort, United Kingdom. Budget: 56.0M, Timeline: 34 months, Past Incidents: 4. The team is experienced. complex design",Quality Issue
73,"This is a Mixed-Use project in New Brian, Cocos (Keeling) Islands. Budget: 95.8M, Timeline: 52 months, Past Incidents: 1. The project follows standard practices. complex design high carbon footprint","Quality Issue,Environmental"
74,"This is a Industrial project in New Suzanne, Cyprus. Budget: 18.6M, Timeline: 36 months, Past Incidents: 3. The project is well-planned. may face permitting delays tight quality control needed","Delay,Quality Issue"
75,"This is a Industrial project in Andreastad, Turkmenistan. Budget: 2.0M, Timeline: 27 months, Past Incidents: 0. The project is well-planned. requires working at heights uses new construction techniques","Safety,Quality Issue"
76,"This is a Industrial project in North Jeffreyview, Afghanistan. Budget: 93.2M, Timeline: 7 months, Past Incidents: 1. The project is well-planned. strict environmental regulations",Environmental
77,"This is a Residential project in Bradleyburgh, Oman. Budget: 77.0M, Timeline: 47 months, Past Incidents: 4. The project is well-planned. material prices are volatile complex design","Budget Overrun,Quality Issue"
78,"This is a Mixed-Use project in Reyesmouth, Guinea-Bissau. Budget: 38.0M, Timeline: 9 months, Past Incidents: 2. Stakeholders are actively involved. has potential for accidents currency exchange risks potential for soil contamination","Safety,Budget Overrun,Environmental"
79,"This is a Commercial project in North Antonio, Italy. Budget: 4.3M, Timeline: 38 months, Past Incidents: 1. The project follows standard practices. located in a high-risk area",Safety
80,"This is a Infrastructure project in Smithmouth, United States Minor Outlying Islands. Budget: 6.5M, Timeline: 54 months, Past Incidents: 1. The project follows standard practices. tight quality control needed",Quality Issue
81,"This is a Commercial project in Griffinside, Saint Lucia. Budget: 65.5M, Timeline: 25 months, Past Incidents: 4. The team is experienced. uncertain cost estimates tight quality control needed","Budget Overrun,Quality Issue"
82,"This is a Infrastructure project in Port Kristin, Cayman Islands. Budget: 85.0M, Timeline: 19 months, Past Incidents: 0. Stakeholders are actively involved. complex scheduling required",Delay
83,"This is a Residential project in South Rachelfurt, Canada. Budget: 82.0M, Timeline: 45 months, Past Incidents: 2. The project is well-planned. tight quality control needed",Quality Issue
84,"This is a Industrial project in Port Michael, Hungary. Budget: 10.6M, Timeline: 51 months, Past Incidents: 2. The project follows standard practices. complex scheduling required potential for soil contamination","Delay,Environmental"
85,"This is a Infrastructure project in East Malik, Iraq. Budget: 68.5M, Timeline: 48 months, Past Incidents: 5. The team is experienced. may face permitting delays",Delay
86,"This is a Industrial project in Mitchellmouth, Niger. Budget: 83.2M, Timeline: 15 months, Past Incidents: 0. Stakeholders are actively involved. uses new construction techniques waste management challenges","Quality Issue,Environmental"
87,"This is a Infrastructure project in Kevinmouth, Tokelau. Budget: 30.3M, Timeline: 48 months, Past Incidents: 4. The project is well-planned. currency exchange risks strict environmental regulations","Budget Overrun,Environmental"
88,"This is a Mixed-Use project in Hollyberg, Madagascar. Budget: 78.4M, Timeline: 45 months, Past Incidents: 4. Stakeholders are actively involved. potential supply chain disruptions",Delay
89,"This is a Infrastructure project in Cookside, Guatemala. Budget: 39.6M, Timeline: 19 months, Past Incidents: 0. Stakeholders are actively involved. has potential for accidents complex scheduling required contingency budget is low unproven subcontractors","Safety,Delay,Budget Overrun,Quality Issue"
90,"This is a Industrial project in Coreyton, British Virgin Islands. Budget: 70.1M, Timeline: 12 months, Past Incidents: 2. The project is well-planned. uncertain cost estimates",Budget Overrun
91,"This is a Infrastructure project in Georgestad, Honduras. Budget: 7.5M, Timeline: 43 months, Past Incidents: 3. Stakeholders are actively involved. located in a sensitive ecosystem",Environmental
92,"This is a Mixed-Use project in Colemanbury, Honduras. Budget: 20.7M, Timeline: 15 months, Past Incidents: 4. The team is experienced. complex scheduling required scope creep is likely uses new construction techniques","Delay,Budget Overrun,Quality Issue"
93,"This is a Infrastructure project in Melodyburgh, Suriname. Budget: 54.6M, Timeline: 17 months, Past Incidents: 5. The team is experienced. uncertain cost estimates strict environmental regulations","Budget Overrun,Environmental"
94,"This is a Industrial project in Harrismouth, Spain. Budget: 72.7M, Timeline: 20 months, Past Incidents: 5. The team is experienced. tight quality control needed high carbon footprint","Quality Issue,Environmental"
95,"This is a Mixed-Use project in New Jimmyfort, Tokelau. Budget: 95.3M, Timeline: 22 months, Past Incidents: 5. Stakeholders are actively involved. involves heavy machinery currency exchange risks unproven subcontractors","Safety,Budget Overrun,Quality Issue"
96,"This is a Infrastructure project in Popechester, Kiribati. Budget: 65.1M, Timeline: 6 months, Past Incidents: 1. The team is experienced. located in a high-risk area",Safety
97,"This is a Residential project in Port Matthewton, France. Budget: 54.2M, Timeline: 15 months, Past Incidents: 5. Stakeholders are actively involved. contingency budget is low",Budget Overrun
98,"This is a Residential project in Port Collin, Bahrain. Budget: 79.3M, Timeline: 58 months, Past Incidents: 2. Stakeholders are actively involved. uncertain cost estimates",Budget Overrun
99,"This is a Mixed-Use project in Annettemouth, Estonia. Budget: 30.1M, Timeline: 57 months, Past Incidents: 0. The project follows standard practices. involves heavy machinery",Safety
100,"This is a Industrial project in Lisaville, Zambia. Budget: 49.0M, Timeline: 12 months, Past Incidents: 4. The project follows standard practices. requires working at heights complex scheduling required","Safety,Delay"
101,"This is a Commercial project in Jesseshire, British Virgin Islands. Budget: 10.5M, Timeline: 38 months, Past Incidents: 0. The team is experienced. scope creep is likely",Budget Overrun
102,"This is a Residential project in South Matthewfort, Gabon. Budget: 3.8M, Timeline: 57 months, Past Incidents: 5. Stakeholders are actively involved. potential supply chain disruptions unproven subcontractors","Delay,Quality Issue"
103,"This is a Commercial project in Fisherstad, Romania. Budget: 90.2M, Timeline: 22 months, Past Incidents: 4. Stakeholders are actively involved. complex scheduling required contingency budget is low","Delay,Budget Overrun"
104,"This is a Industrial project in New Tammy, Zambia. Budget: 60.4M, Timeline: 29 months, Past Incidents: 2. Stakeholders are actively involved. potential for soil contamination",Environmental
105,"This is a Mixed-Use project in Alexishaven, Rwanda. Budget: 14.5M, Timeline: 24 months, Past Incidents: 3. The project follows standard practices. tight quality control needed",Quality Issue
106,"This is a Infrastructure project in South Tyler, Haiti. Budget: 6.9M, Timeline: 39 months, Past Incidents: 5. The project follows standard practices. strict environmental regulations",Environmental
107,"This is a Industrial project in Port Erikstad, Singapore. Budget: 15.1M, Timeline: 34 months, Past Incidents: 3. The project follows standard practices. scope creep is likely strict environmental regulations","Budget Overrun,Environmental"
108,"This is a Mixed-Use project in Scottton, Mexico. Budget: 4.6M, Timeline: 20 months, Past Incidents: 5. Stakeholders are actively involved. involves heavy machinery",Safety
109,"This is a Commercial project in West Laurenville, Cameroon. Budget: 8.9M, Timeline: 51 months, Past Incidents: 3. The team is experienced. tight quality control needed strict environmental regulations","Quality Issue,Environmental"
110,"This is a Commercial project in Shepardtown, Spain. Budget: 1.8M, Timeline: 44 months, Past Incidents: 4. The project is well-planned. located in a high-risk area dependent on weather conditions scope creep is likely strict environmental regulations","Safety,Delay,Budget Overrun,Environmental"
111,"This is a Commercial project in West Shawn, Saint Martin. Budget: 87.8M, Timeline: 34 months, Past Incidents: 5. The project is well-planned. needs strict safety protocols may face permitting delays uncertain cost estimates","Safety,Delay,Budget Overrun"
112,"This is a Commercial project in Port Michelle, Mali. Budget: 25.5M, Timeline: 54 months, Past Incidents: 5. Stakeholders are actively involved. located in a high-risk area currency exchange risks potential for soil contamination","Safety,Budget Overrun,Environmental"
113,"This is a Mixed-Use project in Stacyburgh, Kenya. Budget: 27.4M, Timeline: 21 months, Past Incidents: 4. The project is well-planned. involves heavy machinery",Safety
114,"This is a Commercial project in New Haileyton, Sri Lanka. Budget: 17.0M, Timeline: 46 months, Past Incidents: 1. The project follows standard practices. requires working at heights scope creep is likely","Safety,Budget Overrun"
115,"This is a Industrial project in West Raymondfurt, French Southern Territories. Budget: 13.0M, Timeline: 44 months, Past Incidents: 1. Stakeholders are actively involved. uncertain cost estimates",Budget Overrun
116,"This is a Mixed-Use project in West Tiffany, Micronesia. Budget: 11.4M, Timeline: 31 months, Past Incidents: 5. The team is experienced. located in a high-risk area currency exchange risks","Safety,Budget Overrun"
117,"This is a Industrial project in Kevinberg, Norfolk Island. Budget: 28.4M, Timeline: 12 months, Past Incidents: 3. The project follows standard practices. located in a sensitive ecosystem",Environmental
118,"This is a Mixed-Use project in Williamsmouth, Bahamas. Budget: 1.8M, Timeline: 45 months, Past Incidents: 3. The team is experienced. may face permitting delays complex design","Delay,Quality Issue"
119,"This is a Commercial project in New Kristyhaven, Anguilla. Budget: 5.8M, Timeline: 30 months, Past Incidents: 2. Stakeholders are actively involved. currency exchange risks",Budget Overrun
120,"This is a Mixed-Use project in Lake Robert, Libyan Arab Jamahiriya. Budget: 16.0M, Timeline: 9 months, Past Incidents: 5. Stakeholders are actively involved. waste management challenges",Environmental
121,"This is a Infrastructure project in Johnsonview, Sweden. Budget: 30.6M, Timeline: 60 months, Past Incidents: 5. The project is well-planned. involves heavy machinery has a tight deadline high precision required","Safety,Delay,Quality Issue"
122,"This is a Mixed-Use project in Jenniferstad, Saint Vincent and the Grenadines. Budget: 99.3M, Timeline: 29 months, Past Incidents: 1. The team is experienced. may face permitting delays",Delay
123,"This is a Infrastructure project in East Jerryland, Guadeloupe. Budget: 43.8M, Timeline: 45 months, Past Incidents: 0. The team is experienced. uses new construction techniques",Quality Issue
124,"This is a Commercial project in Reneefurt, Mauritius. Budget: 15.8M, Timeline: 48 months, Past Incidents: 3. The project is well-planned. complex scheduling required",Delay
125,"This is a Industrial project in Munozborough, Lithuania. Budget: 1.3M, Timeline: 11 months, Past Incidents: 0. The project follows standard practices. waste management challenges",Environmental
126,"This is a Commercial project in Stephanieport, Turkey. Budget: 4.1M, Timeline: 58 months, Past Incidents: 0. The team is experienced. currency exchange risks high carbon footprint","Budget Overrun,Environmental"
127,"This is a Infrastructure project in Lake Angelafurt, San Marino. Budget: 63.5M, Timeline: 26 months, Past Incidents: 4. The team is experienced. potential for soil contamination",Environmental
128,"This is a Mixed-Use project in North Mary, Swaziland. Budget: 62.3M, Timeline: 51 months, Past Incidents: 5. The project is well-planned. currency exchange risks",Budget Overrun
129,"This is a Residential project in East Susanhaven, Libyan Arab Jamahiriya. Budget: 88.3M, Timeline: 60 months, Past Incidents: 3. The team is experienced. tight quality control needed",Quality Issue
130,"This is a Mixed-Use project in South Jessica, Myanmar. Budget: 18.7M, Timeline: 40 months, Past Incidents: 2. The team is experienced. located in a high-risk area",Safety
131,"This is a Commercial project in North Tammychester, Denmark. Budget: 27.0M, Timeline: 59 months, Past Incidents: 4. Stakeholders are actively involved. involves heavy machinery",Safety
132,"This is a Commercial project in East Tara, Mali. Budget: 29.5M, Timeline: 18 months, Past Incidents: 5. Stakeholders are actively involved. needs strict safety protocols has a tight deadline uses new construction techniques","Safety,Delay,Quality Issue"
133,"This is a Residential project in Mitchellland, El Salvador. Budget: 47.8M, Timeline: 57 months, Past Incidents: 5. The team is experienced. located in a high-risk area may face permitting delays tight quality control needed","Safety,Delay,Quality Issue"
134,"This is a Industrial project in Mirandachester, Poland. Budget: 51.1M, Timeline: 57 months, Past Incidents: 2. The project follows standard practices. needs strict safety protocols uses new construction techniques high carbon footprint","Safety,Quality Issue,Environmental"
135,"This is a Residential project in Johnsonfurt, Turks and Caicos Islands. Budget: 83.2M, Timeline: 46 months, Past Incidents: 4. The team is experienced. potential supply chain disruptions contingency budget is low","Delay,Budget Overrun"
136,"This is a Industrial project in Johnmouth, Cote d'Ivoire. Budget: 76.1M, Timeline: 31 months, Past Incidents: 1. The team is experienced. scope creep is likely waste management challenges","Budget Overrun,Environmental"
137,"This is a Mixed-Use project in Jessicafurt, Sao Tome and Principe. Budget: 79.9M, Timeline: 24 months, Past Incidents: 4. The project is well-planned. potential supply chain disruptions",Delay
138,"This is a Infrastructure project in Jasonberg, Egypt. Budget: 37.7M, Timeline: 16 months, Past Incidents: 3. The team is experienced. strict environmental regulations",Environmental
139,"This is a Residential project in East Jonmouth, Comoros. Budget: 75.8M, Timeline: 57 months, Past Incidents: 4. The team is experienced. complex scheduling required uses new construction techniques","Delay,Quality Issue"
140,"This is a Mixed-Use project in Armstrongview, Saint Martin. Budget: 31.1M, Timeline: 26 months, Past Incidents: 4. The team is experienced. has a tight deadline",Delay
141,"This is a Infrastructure project in East Monicaborough, Eritrea. Budget: 4.6M, Timeline: 58 months, Past Incidents: 5. The team is experienced. dependent on weather conditions high precision required located in a sensitive ecosystem","Delay,Quality Issue,Environmental"
142,"This is a Residential project in Williamview, Svalbard & Jan Mayen Islands. Budget: 35.8M, Timeline: 58 months, Past Incidents: 0. Stakeholders are actively involved. has potential for accidents",Safety
143,"This is a Mixed-Use project in East Rogerberg, Holy See (Vatican City State). Budget: 65.1M, Timeline: 7 months, Past Incidents: 0. The project follows standard practices. high precision required",Quality Issue
144,"This is a Infrastructure project in South John, Costa Rica. Budget: 82.9M, Timeline: 8 months, Past Incidents: 1. Stakeholders are actively involved. located in a high-risk area located in a sensitive ecosystem","Safety,Environmental"
145,"This is a Mixed-Use project in North Jeffery, Latvia. Budget: 10.4M, Timeline: 36 months, Past Incidents: 4. Stakeholders are actively involved. contingency budget is low",Budget Overrun
146,"This is a Residential project in New Deborah, Australia. Budget: 69.6M, Timeline: 28 months, Past Incidents: 2. The project is well-planned. dependent on weather conditions unproven subcontractors","Delay,Quality Issue"
147,"This is a Commercial project in Lake Jesseport, Malaysia. Budget: 30.2M, Timeline: 36 months, Past Incidents: 3. The project is well-planned. has potential for accidents",Safety
148,"This is a Residential project in East Angela, Finland. Budget: 46.7M, Timeline: 15 months, Past Incidents: 5. Stakeholders are actively involved. uses new construction techniques",Quality Issue
149,"This is a Commercial project in Lisaside, British Indian Ocean Territory (Chagos Archipelago). Budget: 1.3M, Timeline: 24 months, Past Incidents: 5. Stakeholders are actively involved. contingency budget is low",Budget Overrun
150,"This is a Commercial project in East Stephenhaven, Korea. Budget: 42.3M, Timeline: 22 months, Past Incidents: 2. The project follows standard practices. currency exchange risks strict environmental regulations","Budget Overrun,Environmental"
151,"This is a Industrial project in East Kristy, Ghana. Budget: 12.9M, Timeline: 21 months, Past Incidents: 5. The team is experienced. high precision required",Quality Issue
152,"This is a Mixed-Use project in New Cheryl, Burkina Faso. Budget: 81.8M, Timeline: 28 months, Past Incidents: 4. The project is well-planned. potential for soil contamination",Environmental
